年,降水量,気温,湿度,風向・風速,"日照
時間
(h)",雪(寒候年),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1976,437 ],35 ],16 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1977,497 ],70 ],17 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1978,380 ],75 ],12 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1979,296 ],51 ],19 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1980,347 ],43 ],25 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1981,819 ],134 ],15 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1982,415 ],64 ],19 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1983,527 ],51 ],11 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1984,522 ],89 ],21 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1985,393 ],51 ],15 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1986,379 ],42 ],23 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1987,628 ],48 ],19 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1988,335 ],48 ],9 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1989,651 ],73 ],23 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1990,627 ],78 ],19 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1991,609 ],90 ],21 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1992,843 ],104 ],24 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1993,392 ],38 ],16 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1994,584 ],95 ],33 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1995,677 ],67 ],19 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1996,753 ],66 ],26 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1997,605 ],75 ],20 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1998,695 ],124 ],18 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1999,659 ],58 ],17 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
2000,850 ],154 ],20 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
2001,1007 ],146 ],31 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
2002,820 ],77 ],14 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
2003,416 ],54 ],17 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
2004,308 ],25 ],23 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
2005,565 ],71 ],27 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
