îN,ç~êÖó ,ãCâ∑,éºìx,ïóå¸ÅEïóë¨,"ì˙è∆
éûä‘
(h)",ê·(ä¶åÛîN),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1976,357 ],35 ],13 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1977,698 ],50 ],16 ],///,-1.8 ],2.3 ],-7.3 ],18.1 ],-23.8 ],///,///,1.3 ],12 ],ìÏêº,///,///,237.1 ],///,///,///
1978,1304,83,23 ],///,4.5,9.4,-1.5,31.8,-33.5,///,///,1.8,12,êºìÏêº,///,///,2127.6,///,///,///
1979,1299,76,20,///,4.8,9.6,-0.7,32.6,-28.2,///,///,2.0,13,êº,///,///,2120.6,///,///,///
1980,1113,37,18,///,4.3,9.1,-1.0,28.6 ],-31.2 ],///,///,2.0,14,ìÏêº,///,///,2017.5,///,///,///
1981,1551,116,20,///,3.8,8.6,-1.8,30.7,-29.0,///,///,2.1,14 ],ìÏêº,///,///,1930.0,///,///,///
1982,1150,55,19,///,4.8,10.0,-1.1,33.2,-35.6,///,///,2.1,14,êºìÏêº,///,///,2056.9,///,///,///
1983,1154,39,14,///,3.9,8.8,-1.6,29.6,-30.6,///,///,2.1,15,êºìÏêº,///,///,1621.6,1101 ],40 ],128 ]
1984,987,48,12,///,4.3,9.3,-1.5,33.0,-32.1,///,///,2.1,14,êº,///,///,2282.7,949,31,109
1985,1240,38,9,///,4.1,9.2,-1.7,32.5,-35.9,///,///,1.9,13,ìÏêº,///,///,2107.3,936,35,171
1986,1110,48,11,///,3.7,8.7,-2.0,31.2,-33.2,///,///,2.0,11,êºìÏêº,///,///,741.8 ],1086,48,177
1987,1319,41,11,///,4.6,9.3,-1.1,30.3,-32.2,///,///,2.2,14,êºìÏêº,///,///,1287.3,1168,42,162
1988,1276,74,13,///,4.4,9.2,-1.1,32.1,-31.2,///,///,2.0,14,ìÏìÏêº,///,///,1464.5,906,23,119
1989,1275,64,17,///,5.9,10.6,0.3,34.1,-24.4,///,///,2.0,14,êºìÏêº,///,///,1463.8,757,23,76
1990,1126,63,13,///,6.3,11.1,0.8,30.8,-32.8,///,///,2.0,14,êºìÏêº,///,///,1362.6,725,29,106
1991,1125,44,24,///,5.5,10.2,0.1,28.5,-27.2,///,///,1.9,11,êº,///,///,1302.6,708,38,96
1992,1359,54,15,///,4.8,9.6,-0.7,28.5,-28.0,///,///,1.7,11,ìÏêº,///,///,1188.8,950,39,110
1993,1200,59,18,///,4.8,9.3,-0.3,28.1,-23.5,///,///,1.8,10,êºìÏêº,///,///,1235.6,863,35,110
1994,1299,53,18,///,5.6,10.4,0.2,31.7,-29.3,///,///,2.2,12,êºìÏêº,///,///,1180.1,1101,36,153
1995,1350,41,18,///,5.6,10.5,0.2,30.5,-28.3,///,///,2.1,13,ñkñkìå,///,///,1284.1,1289,48,164 ]
1996,1310,87,23,///,4.5,9.2,-0.6,30.1,-30.3,///,///,2.0,10,ìÏêº,///,///,1188.0,937,45,111
1997,1321,77,26,///,5.4,10.0,0.2,30.3,-23.7,///,///,2.1,12,ìÏêº,///,///,1142.3,1247,43,155
