îN,ãCà≥(hPa),ç~êÖó (mm),ãCâ∑(Åé),éºìx(Åì),ïóå¸ÅEïóë¨(m/s),"ì˙è∆
éûä‘
(h)","ëSìVì˙éÀó 
(MJ/m2)",ê·(ä¶åÛîNÅEcm),â_ó ,ëÂãCåªè€,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,,,625.2 ],91.9 ],7.8 ],2.9 ],2.4 ],5.9 ],-0.8 ],20.4 ],-14.3 ],80 ],,,,,,,,,,,,,,,
1943,,1011.9,1150.4,63.8,27.4 ],8.0 ],5.9,9.2,2.6,31.5,-17.3,81,,,,,,,1601.2,,,,5 ],,97 ],32,5
1944,,1011.3,1111.0,100.4,21.0 ],6.9 ],5.1,8.9,1.5,32.7,-22.9,80,,,,,,,1591.7,,,,134 ],,150,31,10
1945,,1011.1,1129.0,53.9,19.5 ],9.5 ],4.5,7.9,1.2,29.4,-21.0,81,,,,,,,1384.0,,,,53 ],,149,27,6
1946,,1010.8,1312.9,67.8,12.0 ],7.9 ],6.2,10.2,2.4,32.7,-21.3,80,,,,,,,1611.4,,,,,,146,12,8
1947,,1011.3,1452.9,110.8,16.5 ],5.4 ],5.1,8.8,1.4,30.5,-26.4,82,,,,,,,1459.8,,,,111 ],,147,30,4
1948,,1012.7,1139.4,69.0,12.4 ],9.2 ],6.7,10.4,3.3,31.6,-17.1,81,,,,,,,1517.8,,,,117 ],,144,38,9
1949,,1012.1,1054.9,49.5,28.3 ],9.5 ],5.7,9.2,2.3,30.0,-16.8,83,,,,,,,1612.5,,,,149 ],,146,31,2
1950,1011.2,1012.1,1133.4,113.7,13.7 ],4.2 ],6.2,10.0,2.6,33.0,-19.5,79,,,,,,,1788.3,,,,150 ],,136,25,5
1951,1011.0,1011.9,1010.6,73.2,30.3 ],11.1 ],5.7,9.5,2.3,32.7,-22.1,78,,4.3,,,,,1701.2,,,,54 ],7.0,138,27,7
1952,1012.0,1012.9,1110.1,77.2,16.9 ],7.6 ],5.0,9.0,1.6,29.2,-19.2,79,,4.0,,,,,1591.6,,,,,7.0,131,34,10
1953,1012.5,1013.5,1142.3,41.5,22.1 ],15.0 ],4.5,8.0,1.4,30.8,-23.3,80,,4.1,,,,,1523.5,,270 ],,80 ],6.8,152,34,12
1954,1012.8,1013.7,1184.2,51.2,27.0 ],10.0 ],4.9,8.4,1.9,27.5,-21.8,79,,4.1,,,,,1407.2,,591,,154 ],7.2,151,26,4
1955,1010.5,1011.4,1834.0,94.1,22.0 ],7.2 ],6.1,9.6,3.1,32.8,-18.8,80,,4.3,,,,,1466.4,,502,,,7.1,144,10,5
1956,1010.5,1011.4,1074.3,33.6,11.6 ],4.8 ],5.4,9.0,2.4,28.8,-23.2,79,,4.2,,,,,1484.5,,505,,,7.2,145,21,5
1957,1010.7,1011.7,1278.0,37.3,12.1 ],5.6 ],5.6,9.3,2.7,29.6,-17.7,79,,3.9,,,,,1642.5,,602,,,7.0,148,27,2
