îN,ç~êÖó ,ãCâ∑,éºìx,ïóå¸ÅEïóë¨,"ì˙è∆
éûä‘
(h)",ê·(ä¶åÛîN),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2003,594 ],101 ],27 ],///,5.8,9.8,1.1,25.6,-21.7,///,///,5.8,20,ìÏìÏêº,///,///,///,///,///,///
2004,600 ],67 ],32 ],///,6.8,10.5,2.0,27.5,-17.7,///,///,6.5,24,êºñkêº,///,///,///,///,///,///
2005,568 ],61 ],36 ],///,6.2,9.9,1.8,30.5,-23.0,///,///,6.1,24,êº,///,///,///,///,///,///
2006,517 ],48 ],23 ],///,6.2,9.9,1.8,28.6 ],-23.3,///,///,6.1,21,êº,///,///,///,///,///,///
2007,532 ],76 ],25 ],///,6.0,9.7,1.3,29.2,-20.6,///,///,6.0,22,ñkñkìå,///,///,///,431,23,56
2008,417.0 ],36.0 ],18.5 ],///,6.1,10.1,1.6,29.1,-21.8,///,///,5.8,21,ñkêº,///,///,///,427,24,60
2009,584.5 ],41.5 ],13.5 ],5.0 ],6.0,9.8,1.6,26.0,-20.1,///,///,6.0,21.6,ñkñkìå,28.8 ],ñkñkìå,///,626,29,68
2010,655.0 ],65.0 ],46.0 ],13.5 ],6.7,10.3,2.3,29.1,-17.3,///,///,5.9,22.4 ],ìÏêº,28.8 ],êºìÏêº,///,575,38,63 ]
2011,553.5 ],46.5 ],34.5 ],8.5 ],6.4,10.1,2.0,29.0,-19.5,///,///,5.9,18.7,êºìÏêº,26.7,ìåìÏìå,///,433,22,45
2012,560.0 ],79.5 ],15.5 ],7.5 ],5.9,9.7,1.5,30.4,-24.6,///,///,5.8,24.3,ñkêº,32.4,ìÏêº,///,690,26,77
2013,517.5 ],74.0 ],20.0 ],8.0 ],6.4,10.1,2.2,29.7,-19.9,///,///,6.1,22.7,ñk,29.3,ñk,///,693,36 ],95 ]
2014,713.0 ],94.5 ],19.5 ],10.0 ],6.1,10.1,1.3,27.9,-22.3,///,///,6.0,21.9,ñkñkìå,31.9,ìå,///,469,21,41
2015,585.0 ],104.0 ],15.0 ],5.5 ],6.8,10.4,2.5,28.0,-21.2,///,///,6.0,27.2,ìÏêº,41.7 ],ìÏêº,///,428,39,56
2016,788.5 ],152.0 ],26.0 ],10.5 ],6.0,9.6,1.8,29.7,-17.0,///,///,6.1,20.8,ìå,28.3,ìåìÏìå,///,678,32,56
2017,599.0 ],48.5 ],17.5 ],7.0 ],6.0,9.7,1.8,27.6,-19.1,///,///,6.1,25.3,ñkêº,32.4,ñkêº,///,590,35 ],43
2018,817.0,42.0,10.5,7.5,6.3,10.0,1.9,30.3,-24.4,///,///,6.3,25.2,êº,31.9,êº,///,601,27 ],84 ]
2019,446.5,45.5,37.0,10.0,6.6,10.5,2.0,31.1,-24.3,///,///,6.3,26.2,êº,33.4,êº,///,452,24 ],23 ]
2020,1006.0,102.0,35.0,13.5,6.7,10.4,2.5,28.4,-18.2,///,///,6.0,20.7,ñkìå,27.3,ñkìå,///,298,13,21 ]
2021,676.5,31.0,17.5,9.0,7.0,11.2,2.1,33.3,-22.7,///,///,6.0,26.1,ñkêº,34.0,ñkêº,///,540,30 ],81 ]
2022,637.5,47.0,28.0,11.5,7.0,10.8,2.5,29.3,-20.9,///,///,6.2,24.9,ñkñkìå,32.4,ìÏìÏêº,///,488,57 ],89 ]
