îN,ç~êÖó ,ãCâ∑,éºìx,ïóå¸ÅEïóë¨,"ì˙è∆
éûä‘
(h)",ê·(ä¶åÛîN),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1978,107 ],16 ],4 ],///,0.4 ],2.4 ],-1.8 ],13.4 ],-9.7 ],///,///,8.2 ],22 ],ñkñkêº,///,///,170.6 ],///,///,///
1979,687,34,8,///,5.8,8.5,3.5,28.3,-15.9 ],///,///,7.5,30,êºñkêº,///,///,2084.8,///,///,///
1980,675,26,13,///,5.2,7.5,2.9,23.9 ],-16.0,///,///,7.6,28,///,///,///,1836.0,///,///,///
1981,904,79,13,///,5.1,7.4,3.0,28.4,-12.9,///,///,7.9,26,êºìÏêº,///,///,1737.0,///,///,///
1982,711,57,13,///,6.0,8.6,3.6,30.2,-15.1,///,///,7.5,30,êºñkêº,///,///,1943.6,///,///,///
1983,799,65,16,///,4.9,7.1,2.7,25.4,-15.0,///,///,7.5,23 ],ñkêº,///,///,1832.9,///,///,///
1984,686,45,13,///,5.5,8.0 ],3.4 ],27.7,-13.3,///,///,7.5,32,///,///,///,2152.8,///,///,///
1985,913,59,34,///,5.2,7.5,3.1,27.6,-16.3,///,///,7.1,23,ñkñkêº,///,///,2055.8,///,///,///
1986,622,36,7,///,4.9,7.1,2.5,27.2,-17.1,///,///,7.8,24,///,///,///,1974.0,///,///,///
1987,917,52,24,///,5.7 ],8.9 ],4.0 ],25.1,-13.8 ],///,///,7.9,23,êºñkêº,///,///,845.5 ],///,///,///
1988,832,63,17,///,5.3,7.5,3.1,29.1,-13.1,///,///,7.6,22,êºñkêº,///,///,1442.1,///,///,///
1989,999,60,15,///,6.7,9.1,4.4,30.3,-10.7,///,///,7.2,23,êºñkêº,///,///,1575.6,///,///,///
1990,1078,80,27,///,7.5,9.9,5.2,28.0,-13.4,///,///,7.1,21,///,///,///,1558.4,///,///,///
1991,805,78,13,///,6.7,8.9,4.4,25.6,-10.9,///,///,7.4,22,êºñkêº,///,///,1465.8,///,///,///
1992,978,79,19,///,5.9,8.3,3.7,26.0,-10.3,///,///,7.4,22,êº,///,///,1177.7,///,///,///
1993,622,42,7,///,5.8,8.0,3.7,24.7,-9.9 ],///,///,7.7,26,ñkêº,///,///,1199.8,///,///,///
1994,854,65,27,///,6.4 ],8.7 ],4.1 ],29.7,-12.5,///,///,7.9,24,êºñkêº,///,///,1401.2,///,///,///
1995,864,60,24 ],///,7.0,9.3,4.6,27.3,-11.5,///,///,6.9,27,êºìÏêº,///,///,1458.2,///,///,///
1996,874,79,45,///,5.4,7.7,3.2,24.1,-14.7,///,///,7.6,24,ñkêº,///,///,1241.1,///,///,///
1997,1106,116,37,///,6.3,8.6,4.1,27.5,-10.8,///,///,7.5,20,êºñkêº,///,///,1302.5,///,///,///
1998,777,57,16 ],///,6.9 ],9.5 ],4.5 ],25.5,-13.9 ],///,///,7.5,23,êºñkêº,///,///,1347.5,///,///,///
1999,1007,66,22,///,6.5,8.9,4.1,29.8,-15.5,///,///,7.7,25,êºñkêº,///,///,1427.1,///,///,///
