年,降水量,気温,湿度,風向・風速,"日照
時間
(h)",雪(寒候年),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2003,155 ],40 ],9 ],///,7.0,9.5,4.5,22.9,-11.2,///,///,5.6,19 ],東,///,///,///,///,///,///
2004,410 ],77 ],18 ],///,7.8,10.3,5.3,25.8,-10.9,///,///,6.1,23,西北西,///,///,///,///,///,///
2005,398 ],62 ],18 ],///,7.1,9.5,4.9,27.7,-10.4,///,///,5.9,21,北東,///,///,///,///,///,///
2006,413 ],42 ],16 ],///,7.0,9.5,4.7,27.6 ],-12.2,///,///,5.8,21,西,///,///,///,///,///,///
2007,610 ],111 ],23 ],///,7.1,9.6,4.7,27.8,-9.5,///,///,5.6,19,東南東,///,///,///,///,///,///
2008,459.0 ],61.0 ],28.0 ],///,7.0,9.5,4.6,25.3,-11.8,///,///,5.5,19,北西,///,///,///,///,///,///
2009,///,///,///,///,-2.2 ],-0.1 ],-4.3 ],8.6 ],-10.4 ],///,///,7.2 ],20 ],北西,25.7 ],東北東,///,///,///,///
