îN,ç~êÖó ,ãCâ∑,éºìx,ïóå¸ÅEïóë¨,"ì˙è∆
éûä‘
(h)",ê·(ä¶åÛîN),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1976,311 ],51 ],11 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1977,707 ],51 ],17 ],///,-1.6 ],2.2 ],-6.3 ],17.9 ],-24.8 ],///,///,1.0 ],7 ],êºìÏêº,///,///,202.2 ],///,///,///
1978,1291,59,20,///,4.6,8.9 ],-2.2 ],32.8 ],-37.9,///,///,1.4,8,ìÏêº,///,///,1982.0 ],///,///,///
1979,1341,99,16,///,4.9,9.0 ],-1.5 ],33.2 ],-30.8,///,///,1.5,12,ìÏêº,///,///,2115.2,///,///,///
1980,1064,58,16,///,4.2,9.0,-1.1,31.7 ],-33.8,///,///,1.6,10,ìÏêº,///,///,1825.2,///,///,///
1981,1564,95,16,///,3.8,8.8,-1.6,32.7,-32.3,///,///,1.9,10,ìÏêº,///,///,1439.7,///,///,///
1982,1300,63,23 ],///,4.8,10.2,-1.1,31.4,-35.6,///,///,1.8,11,êºìÏêº,///,///,1938.4,///,///,///
1983,1250,51,9,///,3.9,8.8,-1.3,30.5,-31.6,///,///,1.8,11,êºìÏêº,///,///,1969.4,947 ],41 ],149 ]
1984,1114,88,12,///,4.2,9.5,-1.5,32.8,-32.5,///,///,1.8,9,ìÏêº,///,///,2344.4,917,34,141
1985,1301,51,12,///,4.3,9.5,-1.4,32.5,-37.0,///,///,1.7,9,ìÏêº,///,///,2205.7,936 ],58 ],167 ]
1986,1135,40,11,///,3.5,8.5,-1.9,32.9,-35.5,///,///,1.7,9,ìÏêº,///,///,783.3 ],1221,40,188
1987,1409,56,32,///,4.7,9.5,-0.8,30.5 ],-35.6,///,///,1.9,12,ìÏêº,///,///,1361.3,1342,56,191
1988,1444,109 ],25,///,4.4,9.3,-0.8,34.0,-33.5,///,///,1.9,11,êºìÏêº,///,///,1520.6,1172,41,146
1989,1283,72,16,///,6.0,10.8,0.9,35.4,-25.9,///,///,2.0,15,ìÏêº,///,///,1537.6,1032,36,108
1990,1201,85,24,///,6.4,11.5,1.1,33.5,-35.6,///,///,1.7,19,ìÏêº,///,///,1488.0,884,39,124
1991,1181,47,13,///,5.6,10.5,0.2,29.7,-31.7,///,///,1.7,15,ìÏêº,///,///,1262.8,928,44,125
1992,1412,79,14,///,5.0,9.9,-0.3,29.7,-27.7,///,///,1.5,8,ìÏêº,///,///,1120.8,1105,45,123
1993,1227,50,13 ],///,4.9,9.4,0.1,29.1,-26.0,///,///,1.6,9,ìÏêº,///,///,1255.3,902 ],38 ],124 ]
1994,1287,68,15,///,5.8,10.6,0.6,31.8,-28.0,///,///,1.6,9,ìÏêº,///,///,1325.6,1353 ],51 ],171 ]
1995,1246,49,9,///,5.6,10.7,0.2,31.7,-29.7,///,///,1.4,10,ìÏêº,///,///,1337.0,1120,29,149
1996,1463,70,28,///,4.5,9.2,-0.5,28.9,-31.4,///,///,1.5,8,ìÏêº,///,///,1205.6,885,38,131 ]
