îN,ç~êÖó ,ãCâ∑,éºìx,ïóå¸ÅEïóë¨,"ì˙è∆
éûä‘
(h)",ê·(ä¶åÛîN),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1976,515 ],79 ],24 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1977,648 ],39 ],14 ],///,1.6 ],3.8 ],-1.0 ],15.1 ],-10.4 ],///,///,3.6 ],12 ],ñkêº,///,///,197.7 ],///,///,///
1978,1058,154,32 ],///,6.7,9.0,4.0,28.9,-16.9 ],///,///,3.4,17 ],ìÏêº,///,///,1767.2,///,///,///
1979,759 ],66 ],12 ],///,6.8,9.3,4.0,30.9,-15.7,///,///,3.6,17,ñkñkìå,///,///,1724.4,///,///,///
1980,823,36,15,///,6.4,9.0,3.7,26.6,-12.6 ],///,///,3.5,17,ñkêº,///,///,1545.0,///,///,///
1981,1129,67,16,///,6.5,8.9,3.9,27.1,-11.2,///,///,3.9,15 ],ñkñkìå,///,///,1336.9,///,///,///
1982,987,104,12,///,7.3,9.8,4.5,29.5,-14.6,///,///,3.9,19,ìÏêº,///,///,1666.6,///,///,///
1983,873,39,11,///,6.5,9.0,3.7,28.8,-12.2,///,///,3.6,16 ],ñkñkìå,///,///,1767.7,///,///,///
1984,787,70,29,///,6.5,8.8,3.8,29.4,-12.8,///,///,3.9,14,ìÏêº,///,///,1885.3,///,///,///
1985,954,88,28,///,6.1,8.5,3.6,27.8,-13.5,///,///,3.9,16,ìÏìÏêº,///,///,1711.7,///,///,///
1986,842,30,12,///,6.1,8.6,3.3,26.7,-13.9,///,///,3.9,17,ñk,///,///,1725.5,///,///,///
1987,1002,39 ],29 ],///,6.5,7.8 ],2.7 ],24.8 ],-13.0,///,///,4.2,17 ],ñk,///,///,635.5 ],///,///,///
1988,792,81,10,///,6.9,9.6,4.1,28.7,-10.8,///,///,3.9,17,ìÏìÏêº,///,///,1445.1,///,///,///
1989,1118,89,24,///,7.7,10.3,4.9,32.5,-10.4,///,///,4.0,15,ñkìå,///,///,1487.0,///,///,///
1990,1050,79,22,///,8.6,11.1,5.8,27.0,-13.7,///,///,3.9,19,ìÏêº,///,///,1404.8,///,///,///
1991,862,39,17,///,7.8 ],10.4 ],5.0 ],26.1,-11.5 ],///,///,3.9,18,ñkñkìå,///,///,1305.2,///,///,///
1992,1130,82,16,///,7.0,9.5,4.4,26.1,-12.8,///,///,4.0,15,ñkñkìå,///,///,946.5,///,///,///
1993,650,66,14,///,7.2,9.7,4.5,26.2,-10.7,///,///,4.0,15,ñkêº,///,///,1279.8,///,///,///
1994,840,84,17,///,7.5,9.9,4.8,27.0,-13.4,///,///,4.3,22,ìÏìÏêº,///,///,1263.5,///,///,///
1995,1034,73,30,///,7.7,10.1,5.1,26.5,-11.4,///,///,4.1,19,êºìÏêº,///,///,1374.1,///,///,///
1996,831,67,18,///,6.6,9.1,3.8,25.3,-15.4,///,///,4.3,16,ñk,///,///,1294.5,///,///,///
1997,1037,89,27,///,7.2,9.6,4.7,28.9,-10.7,///,///,4.1,15 ],ìÏêº,///,///,1209.4,///,///,///
