îN,ç~êÖó ,ãCâ∑,éºìx,ïóå¸ÅEïóë¨,"ì˙è∆
éûä‘
(h)",ê·(ä¶åÛîN),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1977,214 ],16 ],4 ],///,-1.2 ],2.4 ],-6.1 ],16.1 ],-17.9 ],///,///,1.6 ],9 ],êºìÏêº,///,///,236.3 ],///,///,///
1978,1014,52,15 ],///,4.5,8.8,-0.9,30.9,-34.4,///,///,1.9,11,ñkìå,///,///,1996.0,///,///,///
1979,1062,43,20,///,4.7,8.9,-0.5,29.5,-28.3 ],///,///,2.0,15,ìå,///,///,1978.8,///,///,///
1980,798 ],24 ],13 ],///,4.3,8.4,-0.7,29.6,-27.6,///,///,2.0,11,ìåìÏìå,///,///,1705.3,///,///,///
1981,1279 ],76 ],22 ],///,4.2,8.2,-0.8,28.1,-27.3,///,///,2.2,11 ],êºìÏêº,///,///,1320.2,///,///,///
1982,1116,60,20,///,5.1,9.5,-0.3,31.7,-30.0,///,///,1.9,9,êºìÏêº,///,///,1751.9,///,///,///
1983,1033,61,21,///,4.2,8.4,-1.0,31.5,-27.3,///,///,2.0,13,êºìÏêº,///,///,1926.6,///,///,///
1984,844,46,9,///,4.6,8.8,-0.6,31.8,-28.2,///,///,1.9,11,êº,///,///,2084.8,687 ],27 ],116 ]
1985,1043,31,15,///,4.2,8.5,-1.0,30.6,-34.0,///,///,1.7,10,ñkìå,///,///,1888.6,973,36,172
1986,916,38,11,///,4.0,8.2,-1.0,28.9,-33.0,///,///,1.8,10,êºìÏêº,///,///,2129.2,1103,39,156
1987,1099,30,12,///,4.8,8.7,-0.2,27.5 ],-30.1,///,///,1.9,10 ],êº,///,///,2026.4,988,39,164
1988,1142,80,19,///,4.8,9.1,0.0,31.6,-29.2,///,///,1.9,9,êº,///,///,2385.3,966,38,140
1989,1280,71,14,///,5.8,10.1,0.5,32.4,-30.7,///,///,1.8,9,êº,///,///,2267.6,662,26,83
1990,1177,67,21,///,6.4,10.7,1.1,28.3,-33.3,///,///,1.7,11,êº,///,///,665.0 ],772,31,94
1991,1083,54,18,///,5.6,9.9,0.3,27.2,-29.0,///,///,1.8,9,ñkìå,///,///,1095.5,866,36,121 ]
1992,1276,59,10,///,5.0,9.3,-0.2,26.3,-27.9,///,///,1.7,9,êº,///,///,911.0,879,37,135
1993,1017,52,9,///,5.1,9.2,0.3,27.0,-23.8,///,///,1.9,12,êº,///,///,1056.6,966,41,119
1994,1216,65,20,///,5.7,9.8,0.8,30.3,-28.7,///,///,2.0,11,êºìÏêº,///,///,1142.5,1009,37,161
1995,1153,57,17 ],///,5.8,10.1,0.6,28.1,-28.3,///,///,1.9,19,ìÏêº,///,///,1199.0,968,30,118
1996,1172,66,21,///,4.9,8.6,0.5,26.9,-27.7,///,///,2.9,13,ìÏìÏêº,///,///,1157.0,648,26,81
1997,1264,95,22,///,5.5,9.1,1.3,28.5,-22.8,///,///,3.0,15,ìÏêº,///,///,1197.3,774,42,126
1998,1162,63,19,///,5.4,9.1,0.8,27.0,-24.7,///,///,2.9,13,ìÏêº,///,///,1330.8,805,24,98
