îN,ç~êÖó ,ãCâ∑,éºìx,ïóå¸ÅEïóë¨,"ì˙è∆
éûä‘
(h)",ê·(ä¶åÛîN),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1976,405 ],33 ],15 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1977,634 ],58 ],11 ],///,-0.8 ],2.2 ],-4.4 ],18.2 ],-15.6 ],///,///,2.5 ],11 ],êº,///,///,296.2 ],///,///,///
1978,1018,66,17,///,4.9,8.7,0.6,31.6,-27.4,///,///,2.7,12,êºìÏêº,///,///,2311.3,///,///,///
1979,1010,49,13,///,5.2,9.0,1.0,31.7,-20.2 ],///,///,2.7,17,êºìÏêº,///,///,2174.5,///,///,///
1980,881,45,12,///,4.6,8.1,0.7,28.4 ],-22.1,///,///,2.7,16 ],êºìÏêº,///,///,1895.6,///,///,///
1981,1303,115,15,///,4.3,7.8,0.4,30.6 ],-22.6,///,///,3.0,15 ],ìÏêº,///,///,1834.9,///,///,///
1982,864,56,12,///,5.3,9.1,1.0,29.2,-26.8,///,///,3.0,13,êºìÏêº,///,///,2275.7,///,///,///
1983,941,46,10,///,4.2,7.7,0.1,28.8,-27.2,///,///,2.8,14,êºìÏêº,///,///,2115.1,///,///,///
1984,824,69,12,///,4.8,8.5,0.6,30.3,-27.4,///,///,2.7,14,ìÏêº,///,///,2452.6,///,///,///
1985,1066,40,19,///,4.6,8.3,0.3,30.0,-27.3,///,///,2.5,11,êºìÏêº,///,///,2303.5,///,///,///
1986,857,29,9,///,4.2,7.6,0.5,30.6,-25.6,///,///,2.5,12,ìÏêº,///,///,838.5 ],///,///,///
1987,1081,35,15,///,5.0,8.4,1.2,29.6,-22.1,///,///,2.6,12,êºìÏêº,///,///,1424.0,///,///,///
1988,1003,40,11,///,4.6,8.0,1.0,31.5,-23.3,///,///,2.3,12,ìÏìÏêº,///,///,1561.9,///,///,///
1989,1252,81,22,///,6.1,9.6,2.3,33.6 ],-17.0,///,///,2.3,9,êº,///,///,1580.7,///,///,///
1990,974,61,12,///,6.8,10.4,3.0,30.6,-22.1,///,///,2.2,9,ìÏìÏêº,///,///,1494.4,///,///,///
1991,1005,56,10,///,6.1,9.5,2.5,27.8,-18.4,///,///,2.1,9,ñkñkìå,///,///,1418.3,///,///,///
1992,1208,75,11,///,5.4,8.8,1.8,28.7,-17.8,///,///,2.1,8,ñk,///,///,1228.5,///,///,///
1993,872 ],36 ],12 ],///,4.7 ],7.8 ],1.4 ],27.2,-15.4,///,///,2.1 ],9 ],êº,///,///,1311.5 ],///,///,///
1994,1103,66,25,///,6.0,9.5,2.5,30.9,-19.9,///,///,2.3,9,êº,///,///,1481.0,///,///,///
1995,1110,43,23,///,6.2,9.6,2.6,30.2,-19.6,///,///,2.1,10,ñkñkìå,///,///,1408.7,///,///,///
1996,1261,58,15,///,4.7,8.0,1.2,26.7,-21.5,///,///,2.0,9,ñk,///,///,1317.7,///,///,///
1997,1304,87,18,///,5.7,9.1,2.1,30.9,-17.7,///,///,2.0,8,ìÏìÏêº,///,///,1297.0,///,///,///
