îN,ç~êÖó ,ãCâ∑,éºìx,ïóå¸ÅEïóë¨,"ì˙è∆
éûä‘
(h)",ê·(ä¶åÛîN),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1978,119 ],13 ],5 ],///,-1.0 ],1.7 ],-5.0 ],13.1 ],-15.7 ],///,///,5.3 ],18 ],êºìÏêº,///,///,226.1 ],///,///,///
1979,868,45,21,///,5.6 ],9.1 ],1.6 ],30.2,-22.4 ],///,///,5.2 ],21 ],///,///,///,2058.0 ],///,///,///
1980,710,29,14,///,4.3,7.3,0.5,26.5 ],-25.4,///,///,5.3 ],20 ],ñkñkìå,///,///,1990.5,///,///,///
1981,974,117,20,///,4.2,6.0 ],-0.8 ],30.1 ],-21.1,///,///,5.4,21,///,///,///,1902.9,///,///,///
1982,689,49,11,///,5.1,8.5,1.1,30.1,-24.8,///,///,5.0,21,ìåìÏìå,///,///,2094.9,///,///,///
1983,854,56,14,///,4.1,7.0,0.5,27.1,-20.3 ],///,///,5.1,19 ],êºìÏêº,///,///,2002.2,///,///,///
1984,624,31,17,///,4.6,7.7,0.9,29.2,-23.8,///,///,4.9,20,ìå,///,///,2271.7,714,27,70
1985,922,43,13,///,4.4,7.7,0.5,29.3,-26.5,///,///,4.6,19,ñk,///,///,2252.0,972,37,91 ]
1986,730,25,8,///,4.1,7.1,0.4,28.9,-27.2,///,///,5.0,20,ñkñkìå,///,///,2109.8,899,30,86 ]
1987,854,43,12,///,4.7,7.7,1.0,26.6,-24.4,///,///,5.1,18,ñk,///,///,184.3 ],1010,35,89 ]
1988,939,95,25,///,4.4,7.2,1.0,28.9,-21.5,///,///,4.9,21,ìåìÏìå,///,///,1547.8,814 ],34 ],79 ]
1989,1089,68,14,///,6.0,9.1,2.3,32.0,-18.2,///,///,5.0,21,ñkìå,///,///,1572.1,366 ],30 ],69 ]
1990,908,79,19,///,6.7,9.9,2.9,29.9,-24.0,///,///,4.8,20 ],ìå,///,///,1619.1,675,39,82
1991,833,54,11,///,5.9,8.9,2.2,26.1,-19.8,///,///,4.9,22 ],ñkìå,///,///,1534.5,722,38,78 ]
1992,996,73,13,///,5.3,8.3,1.6,28.5,-19.8,///,///,5.1,20,ñkìå,///,///,1347.9,849,34,91
1993,848 ],39 ],21 ],///,5.1,7.8,1.9,26.3,-17.3,///,///,5.5,18,êºñkêº,///,///,1327.3,842,30,80 ]
1994,1175,84,36,///,5.9,9.0,2.4,30.8,-21.8,///,///,5.3,20 ],ìå,///,///,1570.3,948,39,117
1995,956,53,25,///,6.1,9.2,2.3,29.2,-19.4,///,///,4.8,20,ìÏêº,///,///,1505.6,812,38,103 ]
1996,1202,63,25,///,4.5,7.4,1.2,26.4,-23.6,///,///,4.7,20,ñk,///,///,1351.5,768,39,72 ]
1997,1198,96,25,///,5.6,8.6,2.1,29.1,-16.8,///,///,4.9,17,ñkñkìå,///,///,1373.3,728,38,81
1998,950,46,10,///,5.4,8.2,1.8,25.5,-20.4,///,///,5.0,21,ñkìå,///,///,1457.9,867,50,118
