îN,ãCà≥(hPa),ç~êÖó (mm),ãCâ∑(Åé),éºìx(Åì),ïóå¸ÅEïóë¨(m/s),"ì˙è∆
éûä‘
(h)","ëSìVì˙éÀó 
(MJ/m2)",ê·(ä¶åÛîNÅEcm),â_ó ,ëÂãCåªè€,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,,1011.3,1172.6,139.9,64.0 ],13.1 ],6.8,9.6,4.1,30.4,-14.3,76,,,,,,,1761.7,,,,,7.6,84 ],10,9
1939,,1011.8,1022.3,57.7,20.8 ],10.4 ],6.2,9.1,3.4,30.3,-15.7,77,,,,,,,1546.0,,,,74 ],7.7,134,20,4
1940,,1010.9,1343.4,101.0,24.0 ],7.7 ],6.3,9.3,3.3,27.8,-15.4,77,,,,,,,1600.5,,,,105 ],7.8,128,19,2
1941,,1012.0,1239.6,77.0,12.8 ],5.6 ],5.4,8.2,2.5,24.5,-15.0,77,,,,,,,1473.9,,,,,8.2,139,25,4
1942,,1010.2,1373.7,72.9,19.6 ],8.0 ],5.6,8.3,3.0,25.5,-17.3,77,,,,,,,1513.5,,,,,8.0,146,22,9
1943,,1011.8,1156.2,60.9,13.1,5.4 ],6.6,9.4,3.9,29.9,-11.9,77,,,,,,,1626.1,,,,8 ],7.8,150,13,10
1944,,1011.2,1051.0,57.2,23.8,10.0 ],5.8,8.5,3.0,30.6,-19.4,77,,,,,,,1678.9,,,,130 ],7.8,150,24,8
1945,,1011.1,936.0,59.2,24.0,8.8 ],5.3,8.0,2.7,25.1,-13.4,77,,,,,,,1554.7,,,,,8.0,151,20,3
1946,,1010.6,1197.4,69.4,38.4,12.1 ],6.8,9.7,3.9,31.3,-15.3,76,,,,,,,1677.2,,,,8 ],7.6,137,12,8
1947,,1011.0,1407.8,128.2,14.0,6.7 ],5.9,8.7,3.2,28.2,-16.7,78,,,,,,,1575.6,,,,7 ],7.9,145,18,2
1948,,1012.5,967.8,55.5,13.2,6.0 ],7.6,10.6,4.8,30.6,-13.7,76,,,,,,,1686.3,,,,92 ],7.6,133,25,8
1949,,1011.9,937.0,46.0,20.0,10.8 ],6.7,9.6,3.8,29.0,-14.2,76,,,,,,,1662.4,,,,85 ],7.8,140,29,8
1950,1011.4,1011.8,1064.7,116.3,37.0 ],13.6 ],7.0,10.1,4.2,29.9,-13.1,75,,,,,,,1851.3,,,,,7.1,137,23,9
1951,1011.1,1011.5,1135.9,44.3,19.4 ],13.5 ],6.5,9.5,3.8,30.7,-14.7,75,,5.1,,,,,1803.3,,,,135 ],7.4,150,16,11
1952,1011.9,1012.3,1121.4,60.9,33.7 ],11.9 ],5.7,8.8,2.9,27.5,-16.1,76,,5.0,,,,,1677.9,,,,116 ],7.5,132,22,10
1953,1012.8,1013.2,1009.0,38.0,28.4 ],10.8 ],5.6,8.4,3.1,26.9,-15.9,76,,5.0,,,,,1616.0,,208 ],,,7.1,150,22,7
1954,1013.3,1013.7,1334.1,64.0,15.1 ],6.8 ],5.7,8.5,3.1,25.9,-19.1,77,,4.8,,,,,1545.3,,529,,52 ],7.4,144,23,5
