îN,ç~êÖó ,ãCâ∑,éºìx,ïóå¸ÅEïóë¨,"ì˙è∆
éûä‘
(h)",ê·(ä¶åÛîN),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1976,384 ],38 ],14 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1977,568 ],63 ],11 ],///,-1.8 ],1.5 ],-5.7 ],19.9 ],-26.5 ],///,///,1.2 ],11 ],êºñkêº,///,///,224.6 ],///,///,///
1978,946,61,10,///,4.7,9.9,-0.8,35.9,-37.0,///,///,1.5,10,ìÏêº,///,///,2142.5,///,///,///
1979,892,40,13,///,5.0,10.0,-0.3,33.1,-34.9,///,///,1.6,11,êºñkêº,///,///,2145.2,///,///,///
1980,833,34,14,///,4.4,9.4,-1.1,32.5 ],-32.6,///,///,1.7,10,êº,///,///,2045.3,///,///,///
1981,1480,110,16,///,4.1,9.0,-1.2,32.2,-33.1,///,///,1.9,10,ìÏìÏêº,///,///,1894.0,///,///,///
1982,965,49,32,///,5.0,10.3,-0.6,31.5,-34.2,///,///,1.8,11,ñkêº,///,///,2261.0,///,///,///
1983,1061,30,12,///,4.2,9.2,-0.9,33.4,-30.8,///,///,1.7,10,ìÏêº,///,///,2034.3,///,///,///
1984,847,33,10,///,4.6,9.8,-0.9,35.6,-31.3,///,///,1.7,10,ìÏêº,///,///,2408.8,845,28,117
1985,1077,42,20,///,4.6,9.6,-0.7,32.0,-34.1,///,///,1.6,10,êºñkêº,///,///,2285.9,912,37,121
1986,1013,47,25,///,3.8,8.9,-1.5,33.1,-33.4,///,///,1.7,9,ñkñkêº,///,///,2224.3,998,30,129
1987,1205,50,21,///,4.8,9.6,-0.3,30.9,-34.1,///,///,1.9,14,êºñkêº,///,///,2135.2,1072,55,157
1988,1217 ],67 ],18 ],///,4.8,9.8,-0.3,33.1,-30.5,///,///,1.7,9,ìÏìÏêº,///,///,783.4 ],943,32,149
1989,1121,57,20,///,6.0,10.9,1.0,34.8,-26.6,///,///,1.7,9,ñkêº,///,///,1301.6,899,32,103
1990,1133,73,18,///,6.6,11.6,1.5,32.3,-34.1,///,///,1.6,10,ñkêº,///,///,1326.1,829,29,108
1991,1212,81,20,///,5.8,10.6,0.8,29.4,-32.0,///,///,1.7,11,ìÏêº,///,///,1197.7,862,37,113
1992,1253,62,13,///,5.1,10.1,0.2,30.2,-27.8,///,///,1.6,10,ìÏêº,///,///,1097.5,1111,35,113
1993,966,25,11,///,5.2,10.1,0.5,30.1,-24.5 ],///,///,1.6,10,êºñkêº,///,///,1173.2,1187,36,98
1994,1293,62,18,///,6.0,10.9,1.1,33.8,-27.0,///,///,1.5,11,ìÏêº,///,///,1261.0,1473 ],37 ],162 ]
1995,1159,33,15 ],///,6.0,11.0,0.8,31.7,-27.8,///,///,1.4,12,ìÏêº,///,///,1234.5,1007,37,141 ]
1996,1208,48,13,///,5.1,10.0,0.4,30.8,-31.4,///,///,1.5,10,êº,///,///,1097.0,884,30,123
1997,1061,63,20,///,5.8,10.7,0.8,34.3,-27.7,///,///,1.4,9,êº,///,///,1172.5,1161,27,138
