îN,ç~êÖó ,ãCâ∑,éºìx,ïóå¸ÅEïóë¨,"ì˙è∆
éûä‘
(h)",ê·(ä¶åÛîN),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1976,504 ],49 ],30 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1977,736 ],64 ],10 ],///,-0.2 ],2.9 ],-4.0 ],16.0 ],-13.4 ],///,///,1.8 ],8 ],êºñkêº,///,///,215.6 ],///,///,///
1978,1123,91,37,///,5.5,9.0,1.1,31.9 ],-25.4,///,///,1.8,8,ìÏêº,///,///,1952.7,///,///,///
1979,951,45,24,///,5.7,9.4,1.6,31.6,-22.2 ],///,///,2.0,11,ìå,///,///,1975.2,///,///,///
1980,847,23,16,///,5.3,9.0,1.2,29.8,-23.2,///,///,2.2,10,ìå,///,///,1935.2,///,///,///
1981,1345,67,32,///,5.2,8.8,1.2,27.8,-20.9,///,///,2.5,11 ],ìÏìÏìå,///,///,1762.7,///,///,///
1982,1022,84,41,///,6.1,9.8,1.8,32.9,-24.0,///,///,2.3,12,êºñkêº,///,///,1904.1,///,///,///
1983,959,55,14,///,5.3,9.0,1.1,32.9,-20.7,///,///,2.4,9 ],êºñkêº,///,///,1830.4,819 ],26 ],107 ]
1984,933,54,16,///,5.5,9.1,1.2,32.0,-22.4,///,///,2.3,10,êºñkêº,///,///,2129.4,764,37,109
1985,1162,80,30,///,5.1,8.8,0.9,30.0,-26.5,///,///,2.1,10,êºñkêº,///,///,1984.4,789 ],41 ],143 ]
1986,871,40,10,///,4.9,8.5,0.8,29.8,-25.8,///,///,2.3,10,ìÏ,///,///,1913.5,955,28,120
1987,1003,32,10,///,5.5,8.9,1.5,27.8,-24.8,///,///,2.3,8,ñkêº,///,///,1887.2,878,39,109
1988,1110,78,23,///,5.7,9.4,1.7,31.4 ],-22.0,///,///,2.4,10,ñkêº,///,///,2091.2,851,33,98
1989,1188,72,21,///,6.5,10.2,2.3,32.3,-22.6,///,///,2.2,9,ìåñkìå,///,///,1015.5 ],620,26,56
1990,1190,75,24,///,7.1,10.7,2.9,26.9,-26.1,///,///,2.0,9,ìåñkìå,///,///,1383.1,723,27,89
1991,1071,51,12,///,6.2,9.8,2.2,26.9,-24.2,///,///,1.9,9,êºñkêº,///,///,1344.2,708,33,107
1992,1156,54,30,///,5.6,9.2,1.5,26.1,-20.7,///,///,1.8,8,êºñkêº,///,///,1130.5,699 ],34 ],100 ]
1993,892,37,16,///,5.8,9.3,1.9,26.8,-15.8,///,///,2.0,15,êºñkêº,///,///,1269.5,765,35,85
1994,1008,54,18,///,6.7,10.1,2.9,30.1,-22.3,///,///,2.3,9,ìå,///,///,1126.3,980 ],25 ],109 ]
1995,1105,47,18,///,6.8,10.5,2.7,27.9,-22.4,///,///,2.2,9,êºìÏêº,///,///,1189.7,1041,31,94
1996,1033,59,16,///,5.7,9.3,1.9,27.6,-21.2,///,///,2.4,10,êºñkêº,///,///,1158.4,618,24,63
1997,1151,62,16,///,6.3,9.8,2.6,30.2,-19.3,///,///,2.3,8,êºñkêº,///,///,1121.4,824,29,112
